SMILES,MW,ClogP,ClogS,TPSA,HBA,HBD,Rotatable Bonds
CC[C@H](C)c1noc(C(N2C[C@@H](CCC(O)=O)CCC2)=O)c1,308.37800000000004,2.905100000000002,80.70630000000006,83.63999999999999,4,1,6
CC[C@H](C)c1noc(C(N2C[C@H](CCC(O)=O)CCC2)=O)c1,308.37800000000004,2.905100000000002,80.70630000000006,83.63999999999999,4,1,6
CC(N1[C@@H](c2ccc(C(F)(F)F)cc2)SC[C@@H]1C(O)=O)=O,319.30400000000003,2.7525000000000004,70.58680000000004,57.61,3,1,2
CC(N1[C@H](c2ccc(C(F)(F)F)cc2)SC[C@@H]1C(O)=O)=O,319.30400000000003,2.7525000000000004,70.58680000000004,57.61,3,1,2
CC(N1[C@@H](c2ccc(C(F)(F)F)cc2)SC[C@H]1C(O)=O)=O,319.30400000000003,2.7525000000000004,70.58680000000004,57.61,3,1,2
CC(N1[C@H](c2ccc(C(F)(F)F)cc2)SC[C@H]1C(O)=O)=O,319.30400000000003,2.7525000000000004,70.58680000000004,57.61,3,1,2
OC(C[C@H](CCC1)N1C(CSc(cc1)cc(F)c1F)=O)=O,315.34100000000007,2.5226000000000006,74.06980000000001,57.61,3,1,5
OC(C[C@@H](CCC1)N1C(CSc(cc1)cc(F)c1F)=O)=O,315.34100000000007,2.5226000000000006,74.06980000000001,57.61,3,1,5
CC(C)(C)OC(N[C@@H](CC(O)=O)c(cc1)cc(F)c1OC)=O,313.32500000000005,2.8748000000000005,77.31550000000004,84.85999999999999,4,2,5
CC(C)(C)OC(N[C@H](CC(O)=O)c(cc1)cc(F)c1OC)=O,313.32500000000005,2.8748000000000005,77.31550000000004,84.85999999999999,4,2,5
OC([C@H](CN(C1)C(CCCc2cccs2)=O)[C@@H]1C1CC1)=O,307.41500000000013,2.6400000000000015,81.17680000000004,57.61,3,1,6
CC(C)n1ncc(S(Nc2cccc(Cl)c2O)(=O)=O)c1,315.78200000000004,2.6238,76.53730000000003,84.22,5,2,4
CSCc(cc(cc1)C(N(CCC2)C[C@@H]2C(O)=O)=O)c1F,311.378,2.6255000000000006,79.88230000000003,57.61,3,1,4
CSCc(cc(cc1)C(N(CCC2)C[C@H]2C(O)=O)=O)c1F,311.378,2.6255000000000006,79.88230000000003,57.61,3,1,4
CSCc(cc(cc1)C(N(CCCC2)[C@H]2C(O)=O)=O)c1F,311.378,2.7680000000000007,79.93030000000003,57.61,3,1,4
OC(CCCn1ncc(NC(/C=C/c(cc2)ccc2F)=O)c1)=O,317.3200000000001,2.538900000000001,83.16050000000003,84.22,4,2,7
CC(N/C(/C(O)=O)=C\c(cccc1OC2CCCC2)c1OC)=O,319.3570000000001,2.5782000000000007,85.30750000000005,84.86000000000001,4,2,6
OC([C@H](C[C@H]1[C@@H]2CCCC1)N2C(CC1CCSCC1)=O)=O,311.44700000000006,2.764000000000001,83.29880000000004,57.61,3,1,3
OC([C@H](C[C@@H]1[C@@H]2CCCC1)N2C(CC1CCSCC1)=O)=O,311.44700000000006,2.764000000000001,83.29880000000004,57.61,3,1,3
CCn1c(cccc2)c2c(-c(n2C)nnc2SCC(O)=O)c1,316.3860000000001,2.6334,85.96880000000004,72.94,6,1,5
